"date","fisYr","ticker","compName","totalRev","country","cmnShrTraded","totalMktVal","industry","bidLow","askHigh","holdingPeriodReturn","avgPrc","avgShOut","avgShVol","ceoName","ceoStart","ceoEnd","ceoComp1","ceoComp2","ceoSalPctChg","ceoShares","ceoGender","ceoChg"
2008-06-30,2008,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",811.801,"USA",12001554,1075.5077,"4522",49.46,62.75,"-0.200969",57.3466666666667,21677,40369,"William J. Flynn","06/22/2006","12/31/2019",3536.044,3536.044,4.65,140.122,"MALE",FALSE
2008-09-30,2008,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1272.459,"USA",18467065,877.2262,"4522",37.94,57.25,"-0.301870",48.7266666666667,21677,62300,"William J. Flynn","06/22/2006","12/31/2019",3536.044,3536.044,4.65,140.122,"MALE",FALSE
2008-12-31,2008,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1607.482,"USA",22133002,398.0718,"4522",12.15,18.9,"0.235294",17.84,21472,73953.3333333333,"William J. Flynn","06/22/2006","12/31/2019",3536.044,3536.044,4.65,140.122,"MALE",FALSE
2009-03-31,2009,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",234.507,"USA",15174926,365.738,"4522",10.03,20.03,"0.227016",15.3333333333333,21068,52159,"William J. Flynn","06/22/2006","12/31/2019",4512.188,4512.188,3.671,179.9,"MALE",FALSE
2009-06-30,2009,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",474.508,"USA",22697170,489.2162,"4522",21.06,26.32,"-0.103941",25.2066666666667,21080,77591.6666666667,"William J. Flynn","06/22/2006","12/31/2019",4512.188,4512.188,3.671,179.9,"MALE",FALSE
2009-09-30,2009,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",729.986,"USA",21187219,674.5031,"4522",23.45,33.89,"0.281876",27.29,21086,72335.6666666667,"William J. Flynn","06/22/2006","12/31/2019",4512.188,4512.188,3.671,179.9,"MALE",FALSE
2009-12-31,2009,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1051.546,"USA",32567662,957.3623,"4522",30.73,38.18,"0.271331",30.9466666666667,24167.6666666667,111311.333333333,"William J. Flynn","06/22/2006","12/31/2019",4512.188,4512.188,3.671,179.9,"MALE",FALSE
2010-03-31,2010,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",295.232,"USA",22647953,1370.0693,"4522",46.67,53.23,"0.176797",44.9333333333333,25743,78406.6666666667,"William J. Flynn","06/22/2006","12/31/2019",5909.326,5909.326,16.358,161.905,"MALE",FALSE
2010-06-30,2010,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",651.413,"USA",22599765,1226.6875,"4522",47.42,53.74,"-0.091257",51.68,25825,79342.6666666667,"William J. Flynn","06/22/2006","12/31/2019",5909.326,5909.326,16.358,161.905,"MALE",FALSE
2010-09-30,2010,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",978.08,"USA",26919341,1302.1161,"4522",45.37,55.46,"0.160591",50.7066666666667,25825,93571.3333333333,"William J. Flynn","06/22/2006","12/31/2019",5909.326,5909.326,16.358,161.905,"MALE",FALSE
2010-12-31,2010,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1337.774,"USA",14295131,1448.0627,"4522",55.18,59.3,"0.023277",54.2166666666667,25862.3333333333,50419.6666666667,"William J. Flynn","06/22/2006","12/31/2019",5909.326,5909.326,16.358,161.905,"MALE",FALSE
2011-03-31,2011,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",297.606,"USA",19835171,1829.5225,"4522",61.67,69.84,"0.021090",62.9366666666667,26038.6666666667,68547.3333333333,"William J. Flynn","06/22/2006","12/31/2019",6355.713,7059.131,4.348,206.497,"MALE",FALSE
2011-06-30,2011,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",647.181,"USA",14022033,1564.1013,"4522",56.3,61.46,"-0.059725",63.9033333333333,26271,49003.3333333333,"William J. Flynn","06/22/2006","12/31/2019",6355.713,7059.131,4.348,206.497,"MALE",FALSE
2011-09-30,2011,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1010.057,"USA",21865832,875.5936,"4522",33.29,49.41,"-0.321720",44.92,26289.3333333333,75471,"William J. Flynn","06/22/2006","12/31/2019",6355.713,7059.131,4.348,206.497,"MALE",FALSE
2012-12-31,2012,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1646.032,"USA",13298956,1171.9538,"4522",41.59,44.55,"0.024030",47.53,26443,43465,"William J. Flynn","06/22/2006","12/31/2019",6906.126,6906.126,8.75,201.267,"MALE",FALSE
2013-09-30,2013,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1186.299,"USA",13539067,1152.4991,"4522",45.29,48.5,"-0.003680",45.6233333333333,25174,46430.3333333333,"William J. Flynn","06/22/2006","12/31/2019",5865.644,5865.644,5.747,198.888,"MALE",FALSE
2013-12-31,2013,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",1656.9,"USA",21432801,1030.3549,"4522",36.75,41.16,"0.071615",38.86,25039,72906,"William J. Flynn","06/22/2006","12/31/2019",5865.644,5865.644,5.747,198.888,"MALE",FALSE
2014-03-31,2014,"AAWW","ATLAS AIR WORLDWIDE HLDG INC",403.363,"USA",24647083,887.3932,"4522",30.15,35.27,"0.170594",33.5766666666667,25079.3333333333,81644,"William J. Flynn","06/22/2006","12/31/2019",5911.937,5911.937,0,175.284,"MALE",FALSE
